        Energy   CumulativeEnergy
      2.4142150      1187.7938
      2.4142150      1190.2080
      2.4142150      1192.6222
      2.4142150      1195.0364
      2.4142150      1197.4506
      2.4142150      1199.8649
      2.4142150      1202.2791
      2.4142150      1204.6933
      2.4142150      1207.1075
      2.4142150      1209.5217
      2.4142150      1211.9359
      2.4142150      1214.3501
      2.4142150      1216.7644
      2.4142150      1219.1786
      2.4142150      1221.5928
      2.4142150      1224.0070
      2.4142150      1226.4212
      2.4142150      1228.8354
      2.4142150      1231.2497
      2.4142150      1233.6639
      2.4142150      1236.0781
      2.4142150      1238.4923
      2.4142150      1240.9065
      2.4142150      1243.3207
      2.4142150      1245.7349
      2.4142150      1248.1492
      2.4142150      1250.5634
      2.4142150      1252.9776
      2.4142150      1255.3918
      2.4142150      1257.8060
      2.4142150      1260.2202
      2.4142150      1262.6344
      2.4142150      1265.0487
      2.4142150      1267.4629
      2.4142150      1269.8771
      2.4142150      1272.2913
      2.4142150      1274.7055
      2.4142150      1277.1197
      2.4142150      1279.5340
      2.4142150      1281.9482
      2.4142150      1284.3624
      2.4142150      1286.7766
      2.4142150      1289.1908
      2.4142150      1291.6050
      2.4142150      1294.0192
      2.4142150      1296.4335
      2.4142150      1298.8477
      2.4142150      1301.2619
      2.4142150      1303.6761
      2.4142150      1306.0903
      2.4142150      1308.5045
      2.4142150      1310.9187
      2.4142150      1313.3330
      2.4142150      1315.7472
      2.4142150      1318.1614
      2.4142150      1320.5756
      2.4142150      1322.9898
      2.4142150      1325.4040
      2.4142150      1327.8183
      2.4142150      1330.2325
      2.4142150      1332.6467
      2.4142150      1335.0609
      2.4142150      1337.4751
      2.4142150      1339.8893
      2.4142150      1342.3035
      2.4142150      1344.7178
      2.4142150      1347.1320
      2.4142150      1349.5462
      2.4142150      1351.9604
      2.4142150      1354.3746
      2.4142150      1356.7888
      2.4142150      1359.2030
      2.4142150      1361.6173
      2.4142150      1364.0315
      2.4142150      1366.4457
      2.4142150      1368.8599
      2.4142150      1371.2741
      2.4142150      1373.6883
      2.4142150      1376.1026
      2.4142150      1378.5168
      2.4142150      1380.9310
      2.4142150      1383.3452
      2.4142150      1385.7594
      2.4142150      1388.1736
      2.4142150      1390.5878
      2.4142150      1393.0021
      2.4142150      1395.4163
      2.4142150      1397.8305
      2.4142150      1400.2447
      2.4142150      1402.6589
      2.4142150      1405.0731
      2.4142150      1407.4873
      2.4142150      1409.9016
      2.4142150      1412.3158
      2.4142150      1414.7300
      2.4142150      1417.1442
      2.4142150      1419.5584
      2.4142150      1421.9726
      2.4142150      1424.3869
      2.4142150      1426.8011
      2.4142150      1429.2153
      2.4142150      1431.6295
      2.4142150      1434.0437
      2.4142150      1436.4579
      2.4142150      1438.8721
      2.4142150      1441.2864
      2.4142150      1443.7006
      2.4142150      1446.1148
      2.4142150      1448.5290
      2.4142150      1450.9432
      2.4142150      1453.3574
      2.4142150      1455.7716
      2.4142150      1458.1859
      2.4142150      1460.6001
      2.4142150      1463.0143
      2.4142150      1465.4285
      2.4142150      1467.8427
      2.4142150      1470.2569
      2.4142150      1472.6712
      2.4142150      1475.0854
      2.4142150      1477.4996
      2.4142150      1479.9138
      2.4142150      1482.3280
      2.4142150      1484.7422
      2.4142150      1487.1564
      2.4142150      1489.5707
      2.4142150      1491.9849
      2.4142150      1494.3991
      2.4142150      1496.8133
      2.4142150      1499.2275
      2.4142150      1501.6417
      2.4142150      1504.0559
      2.4142150      1506.4702
      2.4142150      1508.8844
      2.4142150      1511.2986
      2.4142150      1513.7128
      2.4142150      1516.1270
      2.4142150      1518.5412
      2.4142150      1520.9555
      2.4142150      1523.3697
      2.4142150      1525.7839
      2.4142150      1528.1981
      2.4142150      1530.6123
      2.4142150      1533.0265
      2.4142150      1535.4407
      2.4142150      1537.8550
      2.4142150      1540.2692
      2.4142150      1542.6834
      2.4142150      1545.0976
      2.4142150      1547.5118
      2.4142150      1549.9260
      2.4142150      1552.3402
      2.4142150      1554.7545
      2.4142150      1557.1687
      2.4142150      1559.5829
      2.4142150      1561.9971
      2.4142150      1564.4113
      2.4142150      1566.8255
      2.4142150      1569.2398
      2.4142150      1571.6540
      2.4142150      1574.0682
      2.4142150      1576.4824
      2.4142150      1578.8966
      2.4142150      1581.3108
      2.4142150      1583.7250
      2.4142150      1586.1393
      2.4142150      1588.5535
      2.4142150      1590.9677
      2.4142150      1593.3819
      2.4142150      1595.7961
      2.4142150      1598.2103
      2.4142150      1600.6245
      2.4142150      1603.0388
      2.4142150      1605.4530
      2.4142150      1607.8672
      2.4142150      1610.2814
      2.4142150      1612.6956
      2.4142150      1615.1098
      2.4142150      1617.5241
      2.4142150      1619.9383
      2.4142150      1622.3525
      2.4142150      1624.7667
      2.4142150      1627.1809
      2.4142150      1629.5951
      2.4142150      1632.0093
      2.4142150      1634.4236
      2.4142150      1636.8378
      2.4142150      1639.2520
      2.4142150      1641.6662
      2.4142150      1644.0804
      2.4142150      1646.4946
      2.4142150      1648.9088
      2.4142150      1651.3231
      2.4142150      1653.7373
      2.4142150      1656.1515
      2.4142150      1658.5657
      2.4142150      1660.9799
      2.4142150      1663.3941
      2.4142150      1665.8084
      2.4142150      1668.2226
      2.4142150      1670.6368
      2.4142150      1673.0510
      2.4142150      1675.4652
      2.4142150      1677.8794
      2.4142150      1680.2936
      2.4142150      1682.7079
      2.4142150      1685.1221
      2.4142150      1687.5363
      2.4142150      1689.9505
      2.4142150      1692.3647
      2.4142150      1694.7789
      2.4142150      1697.1931
      2.4142150      1699.6074
      2.4142150      1702.0216
      2.4142150      1704.4358
      2.4142150      1706.8500
      2.4142150      1709.2642
      2.4142150      1711.6784
      2.4142150      1714.0927
      2.4142150      1716.5069
      2.4142150      1718.9211
      2.4142150      1721.3353
      2.4142150      1723.7495
      2.4142150      1726.1637
      2.4142150      1728.5779
      2.4142150      1730.9922
      2.4142150      1733.4064
      2.4142150      1735.8206
      2.4142150      1738.2348
      2.4142150      1740.6490
      2.4142150      1743.0632
      2.4142150      1745.4774
      2.4142150      1747.8917
      2.4142150      1750.3059
      2.4142150      1752.7201
      2.4142150      1755.1343
      2.4142150      1757.5485
      2.4142150      1759.9627
      2.4142150      1762.3770
      2.4142150      1764.7912
      2.4142150      1767.2054
      2.4142150      1769.6196
      2.4142150      1772.0338
      2.4142150      1774.4480
      2.4142150      1776.8622
      2.4142150      1779.2765
      2.4142150      1781.6907
      2.4142150      1784.1049
      2.4142150      1786.5191
      2.4142150      1788.9333
      2.4142150      1791.3475
      2.4142150      1793.7617
      2.4142150      1796.1760
      2.4142150      1798.5902
      2.4142150      1801.0044
      2.4142150      1803.4186
      2.4142150      1805.8328
      2.4142150      1808.2470
      2.4142150      1810.6613
      2.4142150      1813.0755
      2.4142150      1815.4897
      2.4142150      1817.9039
      2.4142150      1820.3181
      2.4142150      1822.7323
      2.4142150      1825.1465
      2.4142150      1827.5608
      2.4142150      1829.9750
      2.4142150      1832.3892
      2.4142150      1834.8034
      2.4142150      1837.2176
      2.4142150      1839.6318
      2.4142150      1842.0460
      2.4142150      1844.4603
      2.4142150      1846.8745
      2.4142150      1849.2887
      2.4142150      1851.7029
      2.4142150      1854.1171
      2.4142150      1856.5313
      2.4142150      1858.9456
      2.4142150      1861.3598
      2.4142150      1863.7740
      2.4142150      1866.1882
      2.4142150      1868.6024
      2.4142150      1871.0166
      2.4142150      1873.4308
      2.4142150      1875.8451
      2.4142150      1878.2593
